iter	Passed	Remaining
270	841	2263
271	842	2255
272	843	2247
273	846	2244
274	848	2235
275	849	2227
276	851	2222
277	855	2222
278	857	2215
279	858	2208
280	859	2199
281	860	2191
282	861	2183
283	863	2176
284	864	2169
285	865	2161
286	866	2153
287	868	2146
288	869	2139
289	871	2133
290	872	2125
291	873	2118
292	875	2113
293	876	2105
294	877	2097
295	879	2091
296	880	2084
297	882	2078
298	883	2071
299	884	2064
300	886	2057
301	888	2054
302	889	2047
303	890	2039
304	891	2032
305	894	2028
306	895	2021
307	897	2017
308	899	2012
309	901	2006
310	902	1999
311	903	1992
312	904	1984
313	905	1978
314	906	1972
315	908	1967
316	912	1965
317	913	1958
318	914	1952
319	915	1945
320	917	1940
321	918	1935
322	920	1929
323	922	1923
324	924	1919
325	925	1912
326	926	1906
327	927	1900
328	928	1893
329	931	1890
330	932	1885
331	933	1878
332	935	1872
333	936	1866
334	937	1860
335	938	1854
336	939	1848
337	941	1843
338	942	1838
339	943	1831
340	944	1826
341	946	1820
342	950	1819
343	952	1816
344	953	1810
345	955	1806
346	958	1803
347	959	1797
348	960	1792
349	961	1786
350	962	1779
351	964	1775
352	965	1769
353	968	1767
354	972	1766
355	973	1760
356	974	1754
357	976	1750
358	978	1747
359	979	1742
360	981	1737
361	982	1731
362	985	1729
363	987	1724
364	988	1720
365	990	1715
366	991	1710
367	992	1704
368	994	1700
369	996	1697
370	1005	1704
371	1016	1715
372	1020	1715
373	1021	1710
374	1023	1706
375	1027	1705
376	1030	1702
377	1031	1697
378	1032	1691
379	1033	1686
380	1034	1680
381	1036	1676
382	1038	1672
383	1039	1667
384	1041	1663
385	1045	1662
386	1048	1660
387	1050	1656
388	1051	1651
389	1052	1646
390	1054	1642
391	1056	1638
392	1057	1633
393	1059	1629
394	1061	1626
395	1063	1621
396	1072	1628
397	1076	1627
398	1078	1624
399	1080	1620
400	1083	1618
401	1084	1613
402	1087	1610
403	1089	1607
404	1090	1602
405	1092	1598
406	1093	1593
407	1095	1589
408	1096	1585
409	1098	1580
410	1099	1575
411	1101	1572
412	1103	1568
413	1106	1565
414	1107	1561
415	1109	1557
416	1111	1553
417	1113	1550
418	1115	1546
419	1116	1541
420	1117	1537
421	1119	1532
422	1120	1528
423	1125	1528
424	1127	1524
425	1134	1528
426	1135	1523
427	1139	1522
428	1141	1519
429	1146	1519
430	1147	1515
431	1152	1515
432	1154	1512
433	1159	1511
434	1167	1516
435	1173	1518
436	1176	1515
437	1182	1517
438	1186	1516
439	1188	1512
440	1189	1508
441	1191	1503
442	1192	1499
443	1194	1496
444	1200	1496
445	1202	1493
446	1203	1489
447	1205	1484
448	1206	1480
449	1210	1479
450	1211	1475
451	1213	1471
452	1214	1466
453	1215	1462
454	1217	1457
455	1218	1453
456	1219	1449
457	1220	1444
458	1221	1440
459	1223	1435
460	1224	1432
461	1225	1427
462	1227	1423
463	1228	1418
464	1229	1414
465	1231	1410
466	1232	1406
467	1233	1402
468	1237	1400
469	1239	1397
470	1240	1392
471	1241	1389
472	1243	1384
473	1243	1380
474	1245	1376
475	1248	1374
476	1249	1370
477	1250	1365
478	1251	1361
479	1253	1357
480	1255	1354
481	1256	1350
482	1257	1345
483	1258	1341
484	1259	1337
485	1261	1333
486	1262	1329
487	1263	1325
488	1264	1321
489	1265	1317
490	1267	1313
491	1267	1309
492	1269	1305
493	1270	1300
494	1270	1296
495	1272	1293
496	1273	1289
497	1275	1285
498	1276	1281
499	1278	1278
500	1279	1274
501	1280	1269
502	1281	1265
503	1282	1261
504	1283	1258
505	1284	1254
506	1285	1250
507	1287	1246
508	1287	1242
509	1289	1238
510	1290	1235
511	1291	1231
512	1293	1227
513	1294	1223
514	1296	1220
515	1297	1217
516	1299	1213
517	1300	1209
518	1301	1206
519	1303	1202
520	1304	1199
521	1305	1195
522	1306	1191
523	1307	1187
524	1308	1184
525	1309	1180
526	1311	1176
527	1312	1172
528	1312	1169
529	1316	1167
530	1317	1163
531	1318	1159
532	1321	1157
533	1322	1154
534	1324	1150
535	1325	1147
536	1326	1143
537	1328	1140
538	1329	1136
539	1330	1133
540	1331	1129
541	1332	1126
542	1334	1123
543	1335	1119
544	1336	1116
545	1338	1112
546	1339	1109
547	1340	1105
548	1341	1102
549	1342	1098
550	1343	1095
551	1345	1091
552	1346	1088
553	1347	1085
554	1348	1081
555	1350	1078
556	1352	1075
557	1354	1072
558	1355	1069
559	1356	1065
560	1357	1062
561	1359	1059
562	1360	1055
563	1361	1052
564	1363	1049
565	1364	1046
566	1365	1043
567	1366	1039
568	1368	1036
569	1371	1034
570	1372	1031
571	1374	1028
572	1376	1025
573	1377	1022
574	1378	1018
575	1379	1015
576	1381	1012
577	1382	1009
578	1383	1006
579	1385	1003
580	1386	999
581	1388	997
582	1389	993
583	1390	990
584	1391	987
585	1393	984
586	1397	983
587	1399	980
588	1401	978
589	1402	974
590	1406	973
591	1408	970
592	1409	967
593	1410	963
594	1412	961
595	1414	958
596	1415	955
597	1418	953
598	1419	950
599	1420	947
600	1421	944
601	1423	941
602	1424	938
603	1425	934
604	1427	931
605	1428	928
606	1430	926
607	1431	923
608	1441	925
609	1443	923
610	1445	920
611	1447	917
612	1449	915
613	1453	913
614	1455	911
615	1456	908
616	1463	908
617	1464	905
618	1466	902
619	1469	900
620	1471	897
621	1473	895
622	1475	892
623	1476	889
624	1477	886
625	1478	883
626	1479	880
627	1480	877
628	1482	874
629	1483	871
630	1485	868
631	1486	865
632	1487	862
633	1491	861
634	1493	858
635	1494	855
636	1495	852
637	1498	850
638	1500	847
639	1502	844
640	1503	842
641	1506	839
642	1507	837
643	1510	834
644	1512	832
645	1514	829
646	1515	826
647	1517	824
648	1520	822
649	1522	819
650	1524	817
651	1526	814
652	1528	812
653	1531	810
654	1532	807
655	1534	804
656	1535	801
657	1537	798
658	1539	796
659	1541	794
660	1543	791
661	1544	788
662	1546	785
663	1549	783
664	1550	781
665	1552	778
666	1554	775
667	1555	773
668	1556	770
669	1558	767
670	1560	765
671	1561	762
672	1562	759
673	1563	756
674	1565	753
675	1566	751
676	1568	748
677	1571	746
678	1572	743
679	1573	740
680	1574	737
681	1576	735
682	1578	732
683	1579	729
684	1580	726
685	1581	723
686	1582	721
687	1584	718
688	1584	715
689	1585	712
690	1586	709
691	1588	707
692	1597	707
693	1599	705
694	1603	703
695	1603	700
696	1606	698
697	1608	695
698	1609	693
699	1612	691
700	1619	690
701	1621	688
702	1623	685
703	1625	683
704	1627	681
705	1630	678
706	1631	676
707	1633	673
708	1634	670
709	1636	668
710	1637	665
711	1638	662
712	1640	660
713	1641	657
714	1645	655
715	1646	653
716	1649	651
717	1651	648
718	1652	645
719	1653	642
720	1654	640
721	1656	637
722	1657	635
723	1659	632
724	1661	630
725	1663	627
726	1665	625
727	1666	622
728	1668	620
729	1669	617
730	1671	614
731	1672	612
732	1673	609
733	1675	607
734	1676	604
735	1678	601
736	1680	599
737	1681	596
738	1682	594
739	1683	591
740	1684	588
741	1686	586
742	1688	584
743	1689	581
744	1691	578
745	1693	576
746	1694	573
747	1696	571
748	1697	568
749	1698	566
750	1699	563
751	1701	561
752	1703	558
753	1704	556
754	1705	553
755	1707	551
756	1708	548
757	1709	545
758	1710	543
759	1712	540
760	1713	538
761	1715	535
762	1716	533
763	1718	530
764	1719	528
765	1720	525
766	1721	523
767	1724	520
768	1725	518
769	1727	515
770	1728	513
771	1729	510
772	1731	508
773	1732	506
774	1734	503
775	1736	501
776	1737	498
777	1739	496
778	1740	493
779	1741	491
780	1742	488
781	1744	486
782	1746	483
783	1747	481
784	1748	478
785	1750	476
786	1751	473
787	1752	471
788	1753	468
789	1754	466
790	1756	464
791	1759	462
792	1761	459
793	1762	457
794	1763	454
795	1765	452
796	1766	449
797	1767	447
798	1769	445
799	1769	442
800	1771	440
801	1771	437
802	1776	435
803	1778	433
804	1779	431
805	1781	428
806	1782	426
807	1783	423
808	1784	421
809	1786	418
810	1787	416
811	1788	414
812	1790	411
813	1791	409
814	1793	407
815	1794	404
816	1795	402
817	1798	400
818	1799	397
819	1800	395
820	1802	392
821	1803	390
822	1804	388
823	1806	385
824	1807	383
825	1808	381
826	1810	378
827	1811	376
828	1812	373
829	1814	371
830	1816	369
831	1817	367
832	1819	364
833	1820	362
834	1823	360
835	1825	358
836	1826	355
837	1827	353
838	1829	350
839	1830	348
840	1831	346
841	1833	344
842	1835	341
843	1836	339
844	1837	337
845	1838	334
846	1842	332
847	1843	330
848	1845	328
849	1847	325
850	1848	323
851	1849	321
852	1850	318
853	1851	316
854	1853	314
855	1854	312
856	1856	309
857	1857	307
858	1858	305
859	1859	302
860	1861	300
861	1862	298
862	1864	295
863	1865	293
864	1867	291
865	1868	289
866	1869	286
867	1875	285
868	1879	283
869	1880	280
870	1881	278
871	1883	276
872	1885	274
873	1886	272
874	1887	269
875	1893	267
876	1894	265
877	1898	263
878	1899	261
879	1901	259
880	1902	257
881	1904	254
882	1905	252
883	1907	250
884	1908	248
885	1910	245
886	1911	243
887	1912	241
888	1915	239
889	1916	236
890	1917	234
891	1918	232
892	1920	230
893	1921	227
894	1923	225
895	1925	223
896	1926	221
897	1928	219
898	1929	216
899	1930	214
900	1931	212
901	1933	210
902	1934	207
903	1936	205
904	1938	203
905	1939	201
906	1941	199
907	1943	196
908	1945	194
909	1945	192
910	1946	190
911	1947	187
912	1949	185
913	1951	183
914	1952	181
915	1954	179
916	1955	176
917	1956	174
918	1957	172
919	1958	170
920	1973	169
921	1976	167
922	1977	165
923	1979	162
924	1980	160
925	1983	158
926	1984	156
927	1985	154
928	1985	151
929	1987	149
930	1988	147
931	1990	145
932	1991	143
933	1993	140
934	1994	138
935	1995	136
936	1996	134
937	1997	132
938	1998	129
939	2000	127
940	2001	125
941	2002	123
942	2004	121
943	2005	118
944	2007	116
945	2008	114
946	2009	112
947	2010	110
948	2014	108
949	2015	106
950	2016	103
951	2017	101
952	2019	99
953	2020	97
954	2021	95
955	2022	93
956	2024	90
957	2025	88
958	2027	86
959	2028	84
960	2030	82
961	2031	80
962	2032	78
963	2033	75
964	2034	73
965	2039	71
966	2040	69
967	2042	67
968	2043	65
969	2044	63
970	2046	61
971	2047	58
972	2048	56
973	2049	54
974	2052	52
975	2053	50
976	2056	48
977	2057	46
978	2058	44
979	2060	42
980	2062	39
981	2064	37
982	2065	35
983	2066	33
984	2068	31
985	2071	29
986	2072	27
987	2074	25
988	2075	23
989	2077	20
990	2078	18
991	2082	16
992	2083	14
993	2084	12
994	2085	10
995	2090	8
996	2091	6
997	2092	4
998	2093	2
999	2095	0
